best_date,date_source,candidate,support_oppose,side,committee,amount,description,payee,expenditure_date,dissemination_date,filed_date,form,source,file_number,pdf_url,committee_id,candidate_id,also_listed_as,duplicate_of,first_seen,fingerprint
2026-09-09,disseminated,Gabe Evans,Support,Unfriendly,AMERICA PAC,21320.00,MESSAGE PHONE CALLS,"CONNECTION STRATEGY LLC,",2026-09-10,2026-09-09,2026-09-10,F24,efile,2011470,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190232,C00879510,H4CO08034,,,2026-09-11T05:48:43+00:00,C00879510|H4CO08034|S|21320|2026-09-09|MESSAGEPHONECALLS
2026-09-08,disseminated,Gabe Evans,Support,Unfriendly,"NRA VICTORY FUND, INC.",50.00,CREATIVE DESIGN SERVICES,DERIVE TECHNOLOGIES LLC,2026-09-08,2026-09-08,2026-09-10,F24,processed,2011383,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904188914,C00741710,H4CO08034,,,2026-09-10T19:09:35+00:00,C00741710|H4CO08034|S|50|2026-09-08|CREATIVEDESIGNSERVICES
2026-09-08,disseminated,Gabe Evans,Support,Unfriendly,"NRA VICTORY FUND, INC.",141.12,PRINTING / POSTAGE,FOUR STAR PRINTING,2026-09-08,2026-09-08,2026-09-10,F24,processed,2011383,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904188914,C00741710,H4CO08034,,,2026-09-10T19:09:35+00:00,C00741710|H4CO08034|S|141|2026-09-08|PRINTINGPOSTAGE
2026-09-08,disseminated,Gabe Evans,Support,Unfriendly,"NRA VICTORY FUND, INC.",340.64,IN KIND OFFSET: PAPER / STAFF TIME / BUS RENTAL,NATIONAL RIFLE ASSOCIATION OF AMERICA INSTITUTE FOR LEGISLATIVE ACTION,2026-09-08,2026-09-08,2026-09-10,F24,processed,2011383,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904188915,C00741710,H4CO08034,,,2026-09-10T19:09:35+00:00,C00741710|H4CO08034|S|340|2026-09-08|INKINDOFFSETPAPERSTAFFTI
2026-09-08,disseminated,Gabe Evans,Oppose,Friendly,HMP,4554.00,Media Production - Estimate,"Solidarity Strategies LLC,",,2026-09-08,2026-09-10,F24,efile,2011464,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190172,C00495028,H4CO08034,,,2026-09-11T01:00:00+00:00,C00495028|H4CO08034|O|4554|2026-09-08|MEDIAPRODUCTION
2026-09-08,disseminated,Gabe Evans,Oppose,Friendly,HMP,9695.00,Media Production - Estimate,"GPS Impact,",,2026-09-08,2026-09-10,F24,efile,2011464,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190162,C00495028,H4CO08034,,,2026-09-11T01:00:00+00:00,C00495028|H4CO08034|O|9695|2026-09-08|MEDIAPRODUCTION
2026-09-08,disseminated,Gabe Evans,Oppose,Friendly,HMP,15000.00,Media Production - Estimate,"Solidarity Strategies LLC,",,2026-09-08,2026-09-10,F24,efile,2011464,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190170,C00495028,H4CO08034,,,2026-09-11T01:00:00+00:00,C00495028|H4CO08034|O|15000|2026-09-08|MEDIAPRODUCTION
2026-09-08,disseminated,Gabe Evans,Oppose,Friendly,HMP,21600.00,Radio Advertising - Estimate,"Waterfront Strategies Inc.,",,2026-09-08,2026-09-10,F24,efile,2011464,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190182,C00495028,H4CO08034,,,2026-09-11T01:00:00+00:00,C00495028|H4CO08034|O|21600|2026-09-08|RADIOADVERTISING
2026-09-08,disseminated,Gabe Evans,Oppose,Friendly,HMP,51863.00,Media Production - Estimate,"GPS Impact,",,2026-09-08,2026-09-10,F24,efile,2011464,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904190162,C00495028,H4CO08034,,,2026-09-11T01:00:00+00:00,C00495028|H4CO08034|O|51863|2026-09-08|MEDIAPRODUCTION
2026-09-08,disseminated,Manny Rutinel,Oppose,Unfriendly,NO GOING BACK PAC INC.,54060.00,DIRECT MAIL: PRINTING AND POSTAGE,PT STRATEGY LLC,2026-09-08,2026-09-08,2026-09-10,F24,processed,2011444,https://docquery.fec.gov/cgi-bin/fecimg/?202609109904189828,C00960435,H6CO08013,,,2026-09-10T21:40:05+00:00,C00960435|H6CO08013|O|54060|2026-09-08|DIRECTMAILPRINTINGANDPOS
